Item.Description,Item.Manufacturer,Item.PartsNo,問題点.No,問題点.内容,問題点.原因,問題点.発覚日時,問題点.Project,対策.応急処置,対策.恒久対策
サンプリングライン,C社,P-891516,P001,配管の亀裂,定期点検の不備,2025/07/12,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
ポンプ,F社,P-689038,P002,腐食による機能不全,異物の混入,2025/07/25,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
フィルター,D社,P-155322,P003,配管の亀裂,異物の混入,2025/07/09,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
電磁弁,A社,P-426572,P004,制御盤が停止,締め付けトルクの不足,2025/07/25,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
圧力計,E社,P-889925,P005,制御盤が停止,締め付けトルクの不足,2025/07/30,塩素注入設備更新プロジェクト,センサーの再校正,防食・防湿処理を強化
インジェクター,A社,P-146850,P006,詰まりが発生し、注入量が不安定,水質変動の影響,2025/07/18,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
制御盤,E社,P-472930,P007,腐食による機能不全,定期点検の不備,2025/07/29,塩素注入設備更新プロジェクト,センサーの再校正,自動洗浄機能の導入を検討
塩素ボンベ接続部,E社,P-140611,P008,腐食による機能不全,外的要因による損傷,2025/07/18,塩素注入設備更新プロジェクト,接続部の増し締め,製品の選定見直し
流量計,B社,P-986962,P009,塩素漏れが発生,外的要因による損傷,2025/08/01,塩素注入設備更新プロジェクト,接続部の増し締め,自動洗浄機能の導入を検討
サンプリングライン,C社,P-117811,P010,電磁弁の固着,定期点検の不備,2025/07/06,塩素注入設備更新プロジェクト,接続部の増し締め,締め付けトルク管理の徹底
制御盤,C社,P-254722,P011,腐食による機能不全,部品の初期不良,2025/07/29,塩素注入設備更新プロジェクト,制御盤の故障部品交換,自動洗浄機能の導入を検討
ポンプ,C社,P-152262,P012,腐食による機能不全,部品の初期不良,2025/07/01,塩素注入設備更新プロジェクト,パッキンの増し締め,自動洗浄機能の導入を検討
圧力計,D社,P-737463,P013,センサーが応答しない,塩素ガスの侵入,2025/07/19,塩素注入設備更新プロジェクト,パッキンの増し締め,材質を耐塩素性の高いものに変更
ポンプ,B社,P-339625,P014,パッキンの劣化,締め付けトルクの不足,2025/07/11,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,防食・防湿処理を強化
制御盤,A社,P-311094,P015,塩素漏れが発生,外的要因による損傷,2025/07/16,塩素注入設備更新プロジェクト,パッキンの増し締め,部品交換時期の明記
フィルター,D社,P-998342,P016,パッキンの劣化,外的要因による損傷,2025/07/05,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,防食・防湿処理を強化
電磁弁,C社,P-576997,P017,配管の亀裂,部品の初期不良,2025/08/02,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
配管接続部,D社,P-433952,P018,センサーが応答しない,パッキンの経年劣化,2025/07/01,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
電磁弁,C社,P-668114,P019,フィルターの目詰まり,部品の初期不良,2025/07/12,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
流量計,A社,P-305763,P020,配管の亀裂,水質変動の影響,2025/07/23,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
ポンプ,D社,P-582559,P021,電磁弁の固着,部品の初期不良,2025/07/15,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
電磁弁,D社,P-872617,P022,電磁弁の固着,電源系統の不安定,2025/07/05,塩素注入設備更新プロジェクト,制御盤の故障部品交換,防食・防湿処理を強化
インジェクター,C社,P-417740,P023,フィルターの目詰まり,締め付けトルクの不足,2025/07/07,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,締め付けトルク管理の徹底
塩素ボンベ接続部,A社,P-401850,P024,電磁弁の固着,外的要因による損傷,2025/07/01,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,製品の選定見直し
サンプリングライン,D社,P-661349,P025,パッキンの劣化,パッキンの経年劣化,2025/07/25,塩素注入設備更新プロジェクト,センサーの再校正,防食・防湿処理を強化
制御盤,A社,P-101959,P026,センサーが応答しない,締め付けトルクの不足,2025/07/01,塩素注入設備更新プロジェクト,制御盤の故障部品交換,締め付けトルク管理の徹底
電磁弁,B社,P-399048,P027,電磁弁の固着,締め付けトルクの不足,2025/08/03,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
流量計,C社,P-908508,P028,制御盤が停止,定期点検の不備,2025/07/19,塩素注入設備更新プロジェクト,制御盤の故障部品交換,定期点検マニュアルの更新
圧力計,B社,P-619559,P029,センサーが応答しない,電源系統の不安定,2025/07/01,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
ポンプ,B社,P-395480,P030,センサーが応答しない,水質変動の影響,2025/07/24,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
逆止弁,E社,P-756904,P031,塩素漏れが発生,パッキンの経年劣化,2025/07/26,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
圧力計,B社,P-492842,P032,センサーが応答しない,電源系統の不安定,2025/07/14,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
制御盤,D社,P-123116,P033,制御盤が停止,締め付けトルクの不足,2025/07/04,塩素注入設備更新プロジェクト,接続部の増し締め,部品交換時期の明記
流量計,D社,P-859115,P034,配管の亀裂,塩素ガスの侵入,2025/07/12,塩素注入設備更新プロジェクト,制御盤の故障部品交換,材質を耐塩素性の高いものに変更
逆止弁,E社,P-149634,P035,詰まりが発生し、注入量が不安定,異物の混入,2025/07/18,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
流量計,B社,P-493153,P036,腐食による機能不全,異物の混入,2025/07/26,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
配管接続部,D社,P-520529,P037,制御盤が停止,電源系統の不安定,2025/07/21,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
ポンプ,D社,P-872099,P038,配管の亀裂,定期点検の不備,2025/07/18,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
フィルター,A社,P-915113,P039,制御盤が停止,電源系統の不安定,2025/07/08,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
流量計,F社,P-662188,P040,パッキンの劣化,電源系統の不安定,2025/07/11,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,製品の選定見直し
圧力計,B社,P-132636,P041,詰まりが発生し、注入量が不安定,パッキンの経年劣化,2025/07/28,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
サンプリングライン,C社,P-441346,P042,センサーが応答しない,締め付けトルクの不足,2025/07/07,塩素注入設備更新プロジェクト,フィルターの交換,部品交換時期の明記
制御盤,F社,P-456880,P043,詰まりが発生し、注入量が不安定,水質変動の影響,2025/07/01,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,材質を耐塩素性の高いものに変更
サンプリングライン,B社,P-499780,P044,制御盤が停止,パッキンの経年劣化,2025/07/14,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
制御盤,B社,P-756770,P045,配管の亀裂,外的要因による損傷,2025/07/23,塩素注入設備更新プロジェクト,制御盤の故障部品交換,部品交換時期の明記
ポンプ,B社,P-980420,P046,パッキンの劣化,水質変動の影響,2025/07/09,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
サンプリングライン,B社,P-252459,P047,センサーが応答しない,部品の初期不良,2025/07/27,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
配管接続部,A社,P-154522,P048,塩素漏れが発生,電源系統の不安定,2025/07/17,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
サンプリングライン,B社,P-440761,P049,詰まりが発生し、注入量が不安定,部品の初期不良,2025/07/21,塩素注入設備更新プロジェクト,パッキンの増し締め,防食・防湿処理を強化
流量計,E社,P-900877,P050,フィルターの目詰まり,締め付けトルクの不足,2025/07/04,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,防食・防湿処理を強化
流量計,F社,P-283428,P051,詰まりが発生し、注入量が不安定,電源系統の不安定,2025/07/09,塩素注入設備更新プロジェクト,接続部の増し締め,部品交換時期の明記
流量計,D社,P-692458,P052,パッキンの劣化,電源系統の不安定,2025/07/01,塩素注入設備更新プロジェクト,制御盤の故障部品交換,定期点検マニュアルの更新
塩素ボンベ接続部,A社,P-616623,P053,詰まりが発生し、注入量が不安定,塩素ガスの侵入,2025/07/01,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,防食・防湿処理を強化
フィルター,F社,P-149508,P054,制御盤が停止,異物の混入,2025/07/31,塩素注入設備更新プロジェクト,センサーの再校正,自動洗浄機能の導入を検討
ポンプ,D社,P-214514,P055,制御盤が停止,外的要因による損傷,2025/07/31,塩素注入設備更新プロジェクト,接続部の増し締め,定期点検マニュアルの更新
ポンプ,C社,P-829418,P056,塩素漏れが発生,部品の初期不良,2025/07/27,塩素注入設備更新プロジェクト,パッキンの増し締め,締め付けトルク管理の徹底
流量計,E社,P-468291,P057,配管の亀裂,締め付けトルクの不足,2025/07/25,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
塩素ボンベ接続部,F社,P-275750,P058,フィルターの目詰まり,パッキンの経年劣化,2025/07/13,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
サンプリングライン,C社,P-952741,P059,詰まりが発生し、注入量が不安定,異物の混入,2025/07/26,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,材質を耐塩素性の高いものに変更
制御盤,D社,P-287050,P060,詰まりが発生し、注入量が不安定,締め付けトルクの不足,2025/07/29,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
流量計,F社,P-101752,P061,配管の亀裂,定期点検の不備,2025/07/19,塩素注入設備更新プロジェクト,パッキンの増し締め,材質を耐塩素性の高いものに変更
流量計,F社,P-280055,P062,電磁弁の固着,締め付けトルクの不足,2025/07/13,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
ポンプ,C社,P-373272,P063,腐食による機能不全,電源系統の不安定,2025/07/06,塩素注入設備更新プロジェクト,接続部の増し締め,締め付けトルク管理の徹底
配管接続部,E社,P-684011,P064,センサーが応答しない,塩素ガスの侵入,2025/07/08,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
圧力計,E社,P-104830,P065,腐食による機能不全,締め付けトルクの不足,2025/07/19,塩素注入設備更新プロジェクト,制御盤の故障部品交換,締め付けトルク管理の徹底
配管接続部,B社,P-509726,P066,電磁弁の固着,水質変動の影響,2025/07/12,塩素注入設備更新プロジェクト,接続部の増し締め,部品交換時期の明記
サンプリングライン,F社,P-699399,P067,センサーが応答しない,締め付けトルクの不足,2025/07/15,塩素注入設備更新プロジェクト,制御盤の故障部品交換,部品交換時期の明記
制御盤,E社,P-206975,P068,塩素漏れが発生,外的要因による損傷,2025/07/10,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
フィルター,B社,P-651900,P069,制御盤が停止,水質変動の影響,2025/07/21,塩素注入設備更新プロジェクト,パッキンの増し締め,締め付けトルク管理の徹底
インジェクター,D社,P-198991,P070,塩素漏れが発生,塩素ガスの侵入,2025/08/01,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,締め付けトルク管理の徹底
ポンプ,E社,P-276483,P071,パッキンの劣化,締め付けトルクの不足,2025/07/06,塩素注入設備更新プロジェクト,接続部の増し締め,製品の選定見直し
サンプリングライン,E社,P-892877,P072,詰まりが発生し、注入量が不安定,外的要因による損傷,2025/07/17,塩素注入設備更新プロジェクト,接続部の増し締め,材質を耐塩素性の高いものに変更
ポンプ,F社,P-411602,P073,配管の亀裂,締め付けトルクの不足,2025/07/09,塩素注入設備更新プロジェクト,フィルターの交換,自動洗浄機能の導入を検討
ポンプ,C社,P-724092,P074,制御盤が停止,外的要因による損傷,2025/08/03,塩素注入設備更新プロジェクト,接続部の増し締め,材質を耐塩素性の高いものに変更
電磁弁,E社,P-947236,P075,配管の亀裂,外的要因による損傷,2025/07/11,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
フィルター,A社,P-764074,P076,詰まりが発生し、注入量が不安定,定期点検の不備,2025/07/19,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,材質を耐塩素性の高いものに変更
ポンプ,B社,P-594786,P077,制御盤が停止,締め付けトルクの不足,2025/07/27,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,定期点検マニュアルの更新
配管接続部,B社,P-614432,P078,配管の亀裂,塩素ガスの侵入,2025/07/02,塩素注入設備更新プロジェクト,パッキンの増し締め,定期点検マニュアルの更新
流量計,D社,P-684169,P079,詰まりが発生し、注入量が不安定,定期点検の不備,2025/07/03,塩素注入設備更新プロジェクト,接続部の増し締め,自動洗浄機能の導入を検討
制御盤,D社,P-534329,P080,電磁弁の固着,水質変動の影響,2025/07/17,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
制御盤,E社,P-375912,P081,詰まりが発生し、注入量が不安定,塩素ガスの侵入,2025/07/13,塩素注入設備更新プロジェクト,制御盤の故障部品交換,締め付けトルク管理の徹底
制御盤,D社,P-948401,P082,電磁弁の固着,塩素ガスの侵入,2025/07/22,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,自動洗浄機能の導入を検討
サンプリングライン,B社,P-709659,P083,配管の亀裂,定期点検の不備,2025/07/15,塩素注入設備更新プロジェクト,制御盤の故障部品交換,部品交換時期の明記
逆止弁,B社,P-110367,P084,塩素漏れが発生,塩素ガスの侵入,2025/07/14,塩素注入設備更新プロジェクト,接続部の増し締め,部品交換時期の明記
ポンプ,A社,P-673037,P085,制御盤が停止,電源系統の不安定,2025/07/13,塩素注入設備更新プロジェクト,制御盤の故障部品交換,製品の選定見直し
サンプリングライン,C社,P-480591,P086,詰まりが発生し、注入量が不安定,水質変動の影響,2025/07/06,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,製品の選定見直し
逆止弁,C社,P-861726,P087,配管の亀裂,水質変動の影響,2025/07/09,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,定期点検マニュアルの更新
制御盤,F社,P-479911,P088,詰まりが発生し、注入量が不安定,水質変動の影響,2025/07/16,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
電磁弁,A社,P-697533,P089,制御盤が停止,外的要因による損傷,2025/07/25,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,部品交換時期の明記
逆止弁,A社,P-195006,P090,制御盤が停止,塩素ガスの侵入,2025/07/13,塩素注入設備更新プロジェクト,センサーの再校正,防食・防湿処理を強化
逆止弁,A社,P-587541,P091,センサーが応答しない,異物の混入,2025/07/31,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,締め付けトルク管理の徹底
フィルター,F社,P-748355,P092,パッキンの劣化,電源系統の不安定,2025/07/11,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,自動洗浄機能の導入を検討
フィルター,D社,P-434296,P093,配管の亀裂,水質変動の影響,2025/07/20,塩素注入設備更新プロジェクト,フィルターの交換,材質を耐塩素性の高いものに変更
制御盤,D社,P-969888,P094,センサーが応答しない,水質変動の影響,2025/07/18,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
フィルター,F社,P-643047,P095,塩素漏れが発生,締め付けトルクの不足,2025/07/01,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
流量計,B社,P-775529,P096,制御盤が停止,パッキンの経年劣化,2025/07/02,塩素注入設備更新プロジェクト,センサーの再校正,自動洗浄機能の導入を検討
ポンプ,E社,P-673153,P097,センサーが応答しない,外的要因による損傷,2025/07/04,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
サンプリングライン,E社,P-196577,P098,制御盤が停止,締め付けトルクの不足,2025/07/08,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,製品の選定見直し
電磁弁,F社,P-302179,P099,腐食による機能不全,電源系統の不安定,2025/07/13,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
